Item#	Noun	KnownProportion	Auditory_mean	Gustatory_mean	Haptic_mean	Olfactory_mean	Visual_mean	Auditory_sd	Gustatory_sd	Haptic_sd	Olfactory_sd	Visual_sd	DominantModality	Exclusivity	
59	education	1	4	1	1	1	4	1	1	1	1	1	Visual	0	
60	emotion	1	3	1	2	1	4	2	1	2	1	1	Visual	0	
61	enthusiasm	1	3	1	1	1	4	1	1	1	1	1	Visual	0	
62	entrance	1	1	0	2	1	4	1	0	2	1	1	Visual	1	
63	equipment	1	2	0	3	1	4	1	1	1	1	1	Visual	0	
64	estimate	1	2	1	2	1	3	1	1	2	1	2	Visual	0	
65	exchange	1	2	1	2	1	3	1	1	2	1	1	Visual	0	
66	excitement	1	4	1	2	1	4	1	1	2	2	1	Visual	0	
67	expansion	1	2	0	3	0	4	1	1	2	1	1	Visual	0	
68	extreme	1	2	2	2	2	3	1	2	2	2	2	Visual	0	
69	eye	1	0	0	2	0	5	0	0	1	0	1	Visual	1	
70	fact	1	3	1	1	1	3	2	1	2	2	2	Auditory	0	
71	factory	1	3	1	1	3	5	1	1	1	1	1	Visual	0	
72	failure	1	2	1	1	1	3	2	1	1	1	1	Visual	0	
73	faint	1	1	0	2	0	3	1	1	2	0	1	Visual	0	
74	fear	1	2	1	2	1	3	2	1	1	1	2	Visual	0	
75	feel	1	1	1	5	1	2	2	2	1	1	2	Haptic	0	
76	file	1	1	0	2	0	4	1	0	1	1	1	Visual	1	
77	finance	1	1	0	1	0	3	1	1	2	1	1	Visual	0	
78	find	1	2	1	3	2	4	2	1	2	1	1	Visual	0	
79	finish	1	2	1	1	1	3	2	1	2	1	1	Visual	0	
80	food	1	1	5	3	5	4	2	0	1	1	1	Gustatory	0	
81	form	1	1	0	2	0	3	1	1	2	1	2	Visual	0	
82	formation	1	1	0	2	0	4	1	1	1	1	1	Visual	0	
83	friend	1	4	0	3	2	5	1	1	2	1	1	Visual	0	
84	function	1	2	1	2	1	3	2	1	2	1	1	Visual	0	
85	gesture	1	1	0	2	0	5	1	0	2	0	1	Visual	1	
86	glass	1	2	0	4	0	4	2	1	1	0	1	Visual	0	
87	grade	1	1	0	0	0	3	1	0	1	0	1	Visual	1	
88	grass	1	1	0	4	3	5	1	1	1	1	1	Visual	0	
89	guilt	1	1	0	1	0	2	1	0	1	1	1	Visual	0	
90	hat	1	0	0	3	1	5	1	0	1	1	1	Visual	1	
91	health	1	2	1	2	1	4	1	1	2	1	1	Visual	0	
92	heaven	1	2	1	1	1	2	2	2	2	2	2	Auditory	0	
93	hide	1	1	0	1	0	3	1	0	1	1	1	Visual	1	
94	hole	1	0	0	3	0	4	1	0	2	1	1	Visual	1	
95	honey	1	1	5	3	4	4	1	1	1	1	1	Gustatory	0	
96	hour	1	1	0	0	0	3	2	0	1	0	2	Visual	1	
97	impression	1	3	1	1	1	4	1	1	1	1	1	Visual	0	
98	inch	1	0	0	2	0	4	0	0	1	0	1	Visual	1	
99	incident	1	3	0	1	1	4	1	1	1	1	1	Visual	0	
100	income	1	1	0	1	0	3	1	1	1	0	2	Visual	1	
101	increase	1	2	1	2	1	4	1	2	1	1	1	Visual	0	
102	independence	1	2	0	1	0	3	2	1	2	1	1	Visual	0	
103	influence	1	2	0	1	0	3	2	1	1	1	2	Visual	0	
